start_date,end_date,dayflag,ranking,fromaddress,all_population,area_id,area_name,population,share_rate
20251011,20251011,休日,1,山形県米沢市,20974,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),20974,1.0
20251011,20251011,休日,2,山形県東置賜郡高畠町,2362,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),2362,1.0
20251011,20251011,休日,3,山形県南陽市,2123,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),2123,1.0
20251011,20251011,休日,4,山形県山形市,1675,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),1675,1.0
20251011,20251011,休日,5,山形県長井市,1665,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),1665,1.0
20251011,20251011,休日,6,山形県東置賜郡川西町,1416,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),1416,1.0
20251011,20251011,休日,7,福島県福島市,904,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),904,1.0
20251011,20251011,休日,8,福島県会津若松市,709,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),709,1.0
20251011,20251011,休日,9,福島県喜多方市,647,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),647,1.0
20251011,20251011,休日,10,山形県西置賜郡白鷹町,349,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),349,1.0
20251011,20251011,休日,11,山形県西置賜郡飯豊町,327,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),327,1.0
20251011,20251011,休日,12,山形県上山市,214,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),214,1.0
20251011,20251011,休日,13,山形県鶴岡市,207,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),207,1.0
20251011,20251011,休日,14,山形県西置賜郡小国町,205,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),205,1.0
20251011,20251011,休日,15,福島県郡山市,196,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),196,1.0
20251011,20251011,休日,16,山形県東根市,195,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),195,1.0
20251011,20251011,休日,17,福島県相馬市,172,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),172,1.0
20251011,20251011,休日,18,山形県寒河江市,162,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),162,1.0
20251011,20251011,休日,19,宮城県仙台市泉区,157,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),157,1.0
20251011,20251011,休日,20,宮城県仙台市青葉区,146,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),146,1.0
20251011,20251011,休日,21,山形県天童市,143,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),143,1.0
20251011,20251011,休日,22,宮城県登米市,142,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),142,1.0
20251011,20251011,休日,23,福島県南相馬市,141,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),141,1.0
20251011,20251011,休日,24,山形県新庄市,138,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),138,1.0
20251011,20251011,休日,25,山形県西村山郡大江町,135,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),135,1.0
20251011,20251011,休日,26,福島県河沼郡会津坂下町,133,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),133,1.0
20251011,20251011,休日,27,東京都足立区,128,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),128,1.0
20251011,20251011,休日,28,福島県伊達市,117,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),117,1.0
20251011,20251011,休日,29,宮城県柴田郡柴田町,111,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),111,1.0
20251011,20251011,休日,30,岩手県宮古市,111,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),111,1.0
20251011,20251011,休日,31,福島県双葉郡富岡町,109,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),109,1.0
20251011,20251011,休日,32,埼玉県春日部市,101,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),101,1.0
20251011,20251011,休日,33,山形県西村山郡河北町,98,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),98,1.0
20251011,20251011,休日,34,福島県大沼郡会津美里町,94,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),94,1.0
20251011,20251011,休日,35,秋田県大仙市,93,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),93,1.0
20251011,20251011,休日,36,新潟県新潟市東区,92,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),92,1.0
20251011,20251011,休日,37,山形県最上郡真室川町,90,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),90,1.0
20251011,20251011,休日,38,青森県青森市,89,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),89,1.0
20251011,20251011,休日,39,秋田県横手市,86,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),86,1.0
20251011,20251011,休日,40,宮城県刈田郡七ヶ宿町,85,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),85,1.0
20251011,20251011,休日,41,新潟県村上市,84,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),84,1.0
20251011,20251011,休日,42,群馬県高崎市,81,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),81,1.0
20251011,20251011,休日,43,新潟県加茂市,76,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),76,1.0
20251011,20251011,休日,44,福島県耶麻郡西会津町,75,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),75,1.0
20251011,20251011,休日,45,秋田県秋田市,73,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),73,1.0
20251011,20251011,休日,46,宮城県石巻市,70,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),70,1.0
20251011,20251011,休日,47,山形県東村山郡山辺町,67,ebfa5f94-7018-4e1e-a338-a82efec76d0b,花火大会(広域),67,1.0
