start_date,end_date,area_id,area_name,weektype,population,rate
20250911,20250913,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,月,0,0.0
20250911,20250913,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,火,0,0.0
20250911,20250913,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,水,0,0.0
20250911,20250913,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,木,187,0.347
20250911,20250913,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,金,225,0.418
20250911,20250913,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,土,126,0.234
20250911,20250913,03b9354d-5d12-4fd0-8eba-080313d62215,平山孫兵衛商店,日,0,0.0
20250911,20250913,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,月,0,0.0
20250911,20250913,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,火,0,0.0
20250911,20250913,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,水,0,0.0
20250911,20250913,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,木,32,0.044
20250911,20250913,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,金,278,0.393
20250911,20250913,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,土,398,0.563
20250911,20250913,1648f132-8957-4fcc-b56f-7fa74054ff8b,酒蔵資料館東光の酒蔵,日,0,0.0
20250911,20250913,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,月,0,0.0
20250911,20250913,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,火,0,0.0
20250911,20250913,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,水,0,0.0
20250911,20250913,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,木,187,0.349
20250911,20250913,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,金,124,0.231
20250911,20250913,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,土,224,0.42
20250911,20250913,1690fa74-b29e-4696-a623-81c5fc4bf363,Nitorito,日,0,0.0
20250911,20250913,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,月,0,0.0
20250911,20250913,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,火,0,0.0
20250911,20250913,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,水,0,0.0
20250911,20250913,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,木,32,0.066
20250911,20250913,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,金,93,0.197
20250911,20250913,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,土,348,0.737
20250911,20250913,20c39cf9-d958-40b6-bb7f-ab0c801cae60,米沢織物直売所おりじん,日,0,0.0
20250911,20250913,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,月,0,0.0
20250911,20250913,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,火,0,0.0
20250911,20250913,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,水,0,0.0
20250911,20250913,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,木,73,0.254
20250911,20250913,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,金,154,0.538
20250911,20250913,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,土,60,0.208
20250911,20250913,22ede8ba-43c3-4adb-89fe-374b2dd192dd,株式会社 川島印刷,日,0,0.0
20250911,20250913,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,月,0,0.0
20250911,20250913,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,火,0,0.0
20250911,20250913,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,水,0,0.0
20250911,20250913,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,木,66,0.437
20250911,20250913,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,金,31,0.205
20250911,20250913,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,土,54,0.358
20250911,20250913,2c092d10-6bc6-475b-97b0-dcd8e410c819,株式会社 アイタ工業,日,0,0.0
20250911,20250913,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,月,0,0.0
20250911,20250913,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,火,0,0.0
20250911,20250913,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,水,0,0.0
20250911,20250913,2fef90f8-7322-4901-8ea2-a82ba9fac4bf,行方織物有限会社,木,94,0.299
